"","Ubigeo","Distrito","por_ur"
"3239","061104","Dpto. Cajamarca   Prov. San Miguel   Dist. Catilluc",10.95
"3244","061105","Dpto. Cajamarca   Prov. San Miguel   Dist. El Prado",13.26
"3249","061106","Dpto. Cajamarca   Prov. San Miguel   Dist. La Florida",23.39
"3254","061107","Dpto. Cajamarca   Prov. San Miguel   Dist. Llapa",13.39
"3259","061108","Dpto. Cajamarca   Prov. San Miguel   Dist. Nanchoc",18.8
"3264","061109","Dpto. Cajamarca   Prov. San Miguel   Dist. Niepos",14.33
"3269","061110","Dpto. Cajamarca   Prov. San Miguel   Dist. San Gregorio",7.55
"3274","061111","Dpto. Cajamarca   Prov. San Miguel   Dist. San Silvestre de Cochan",5.58
"3279","061112","Dpto. Cajamarca   Prov. San Miguel   Dist. Tongod",22.83
"3284","061113","Dpto. Cajamarca   Prov. San Miguel   Dist. Uni<U+00F3>n Agua Blanca",12.58
"3289","061201","Dpto. Cajamarca   Prov. San Pablo   Dist. San Pablo",23.86
"3294","061202","Dpto. Cajamarca   Prov. San Pablo   Dist. San Bernardino",3.8
"3299","061203","Dpto. Cajamarca   Prov. San Pablo   Dist. San Luis",6.83
"3304","061204","Dpto. Cajamarca   Prov. San Pablo   Dist. Tumbaden",3.67
"3309","061301","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Santa Cruz",45.7
"3314","061302","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Andabamba",14.44
"3319","061303","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Catache",14.61
"3324","061304","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Chancayba<U+00F1>os",8.18
"3329","061305","Dpto. Cajamarca   Prov. Santa Cruz   Dist. La Esperanza",6.2
"3334","061306","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Ninabamba",12.78
"3339","061307","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Pulan",8.85
"3344","061308","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Saucepampa",13.93
"3349","061309","Dpto. Cajamarca   Prov. Santa Cruz   Dist. Sexi",54.17
"3354","061310","Dpto. Cajamarca   Prov. Santa cruz   Dist. Uticyacu",12.08
"3359","061311","Dpto. Cajamarca   Prov. Santa cruz   Dist. Yauyucan",23.42
"3364","070101","Prov. Constitucional del Callao   Dist. Callao",100
"3368","070102","Prov. Constitucional del Callao   Dist. Bellavista",100
"3372","070103","Prov. Constitucional del Callao   Dist. Carmen de la Legua Reynoso",100
"3376","070104","Prov. Constitucional del Callao   Dist. La Perla",100
"3380","070105","Prov. Constitucional del Callao   Dist. La Punta",100
"3384","070106","Prov. Constitucional del Callao   Dist. Ventanilla",100
"3388","080101","Dpto. Cusco   Prov. Cusco   Dist. Cusco",97.8
"3393","080102","Dpto. Cusco   Prov. Cusco   Dist. Ccorca",26.85
"3398","080103","Dpto. Cusco   Prov. Cusco   Dist. Poroy",21.54
"3403","080104","Dpto. Cusco   Prov. Cusco   Dist. San Jer<U+00F3>nimo",93.66
"3408","080105","Dpto. Cusco   Prov. Cusco   Dist. San Sebastian",96.75
"3413","080106","Dpto. Cusco   Prov. Cusco   Dist. Santiago",97.28
"3418","080107","Dpto. Cusco   Prov. Cusco   Dist. Saylla",42.77
"3423","080108","Dpto. Cusco   Prov. Cusco   Dist. Wanchaq",100
"3427","080201","Dpto. Cusco   Prov. Acomayo   Dist. Acomayo",40.04
"3432","080202","Dpto. Cusco   Prov. Acomayo   Dist. Acopia",57.33
"3437","080203","Dpto. Cusco   Prov. Acomayo   Dist. Acos",57.88
"3442","080204","Dpto. Cusco   Prov. Acomayo   Dist. Mosoc Llacta",33.26
"3447","080205","Dpto. Cusco   Prov. Acomayo   Dist. Pomacanchi",55.78
"3452","080206","Dpto. Cusco   Prov. Acomayo   Dist. Rondocan",48.25
"3457","080207","Dpto. Cusco   Prov. Acomayo   Dist. Sangarara",71.6
"3462","080301","Dpto. Cusco   Prov. Anta   Dist. Anta",43.35
"3467","080302","Dpto. Cusco   Prov. Anta   Dist. Ancahuasi",23.92
"3472","080303","Dpto. Cusco   Prov. Anta   Dist. Cachimayo",75.06
"3477","080304","Dpto. Cusco   Prov. Anta   Dist. Chinchaypujio",19.96
"3482","080305","Dpto. Cusco   Prov. Anta   Dist. Huarocondo",39.12
"3487","080306","Dpto. Cusco   Prov. Anta   Dist. Limatambo",20.41
"3492","080307","Dpto. Cusco   Prov. Anta   Dist. Mollepata",40.06
"3497","080308","Dpto. Cusco   Prov. Anta   Dist. Pucyura",41.72
"3502","080309","Dpto. Cusco   Prov. Anta   Dist. Zurite",39.95
"3507","080401","Dpto. Cusco   Prov. Calca   Dist. Calca",53.92
"3512","080402","Dpto. Cusco   Prov. Calca   Dist. Coya",34.17
"3517","080403","Dpto. Cusco   Prov. Calca   Dist. Lamay",33.76
"3522","080404","Dpto. Cusco   Prov. Calca   Dist. Lares",27.28
"3527","080405","Dpto. Cusco   Prov. Calca   Dist. Pisac",36.25
"3532","080406","Dpto. Cusco   Prov. Calca   Dist. San Salvador",22.95
"3537","080407","Dpto. Cusco   Prov. Calca   Dist. Taray",11.44
"3542","080408","Dpto. Cusco   Prov. Calca   Dist. Yanatile",23.48
"3547","080501","Dpto. Cusco   Prov. Canas   Dist. Yanaoca",23.79
"3552","080502","Dpto. Cusco   Prov. Canas   Dist. Checca",4.13
"3557","080503","Dpto. Cusco   Prov. Canas   Dist. Kunturkanki",20.68
"3562","080504","Dpto. Cusco   Prov. Canas   Dist. Langui",12.99
"3567","080505","Dpto. Cusco   Prov. Canas   Dist. Layo",9.54
"3572","080506","Dpto. Cusco   Prov. Canas   Dist. Pampamarca",40.94
"3577","080507","Dpto. Cusco   Prov. Canas   Dist. Quehue",7.88
"3582","080508","Dpto. Cusco   Prov. Canas   Dist. T<U+00FA>pac Amaru",14.7
"3587","080601","Dpto. Cusco   Prov. Canchis   Dist. Sicuani",76.99
"3592","080602","Dpto. Cusco   Prov. Canchis   Dist. Checacupe",47.8
"3597","080603","Dpto. Cusco   Prov. Canchis   Dist. Combapata",38.11
"3602","080604","Dpto. Cusco   Prov. Canchis   Dist. Marangani",24.66
"3607","080605","Dpto. Cusco   Prov. Canchis   Dist. Pitumarca",43.8
"3612","080606","Dpto. Cusco   Prov. Canchis   Dist. San pablo",31.77
"3617","080607","Dpto. Cusco   Prov. Canchis   Dist. San pedro",51.11
"3622","080608","Dpto. Cusco   Prov. Canchis   Dist. Tinta",46.56
"3627","080701","Dpto. Cusco   Prov. Chumbivilcas   Dist. Santo Tomas",40.57
"3632","080702","Dpto. Cusco   Prov. Chumbivilcas   Dist. Capacmarca",13.59
"3637","080703","Dpto. Cusco   Prov. Chumbivilcas   Dist. Chamaca",14.61
"3642","080704","Dpto. Cusco   Prov. Chumbivilcas   Dist. Colquemarca",13.75
"3647","080705","Dpto. Cusco   Prov. Chumbivilcas   Dist. Livitaca",8.23
"3652","080706","Dpto. Cusco   Prov. Chumbivilcas   Dist. Llusco",15.11
"3657","080707","Dpto. Cusco   Prov. Chumbivilcas   Dist. Qui<U+00F1>ota",16.82
"3662","080708","Dpto. Cusco   Prov. Chumbivilcas   Dist. Velille",25.13
"3667","080801","Dpto. Cusco   Prov. Espinar   Dist. Espinar",83.05
"3672","080802","Dpto. Cusco   Prov. Espinar   Dist. Condoroma",39.4
"3677","080803","Dpto. Cusco   Prov. Espinar   Dist. Coporaque",2.97
"3682","080804","Dpto. Cusco   Prov. Espinar   Dist. Ocoruro",9.47
"3687","080805","Dpto. Cusco   Prov. Espinar   Dist. Pallpata",28.2
"3692","080806","Dpto. Cusco   Prov. Espinar   Dist. Pichigua",16.36
"3697","080807","Dpto. Cusco   Prov. Espinar   Dist. Suyckutambo",9.98
"3702","080808","Dpto. Cusco   Prov. Espinar   Dist. Alto Pichigua",9.75
"3707","080901","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Santa Ana",79.97
"3712","080902","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Echarate",11.75
"3717","080903","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Huayopata",41.22
"3722","080904","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Maranura",10.78
"3727","080905","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Ocobamba",6.37
"3732","080906","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Quellouno",10.5
"3737","080907","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Kimbiri",26.59
"3742","080908","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Santa Teresa",21.75
"3747","080909","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Vilcabamba",2.22
"3752","080910","Dpto. Cusco   Prov. La convenci<U+00F3>n   Dist. Pichari",43.85
"3757","081001","Dpto. Cusco   Prov. Paruro   Dist. Paruro",47.84
"3762","081002","Dpto. Cusco   Prov. Paruro   Dist. Accha",33.25
"3767","081003","Dpto. Cusco   Prov. Paruro   Dist. Ccapi",22.33
"3772","081004","Dpto. Cusco   Prov. Paruro   Dist. Colcha",96.18
"3777","081005","Dpto. Cusco   Prov. Paruro   Dist. Huanoquite",23.9
"3782","081006","Dpto. Cusco   Prov. Paruro   Dist. Omacha",25.38
"3787","081007","Dpto. Cusco   Prov. Paruro   Dist. Paccaritambo",33.57
"3792","081008","Dpto. Cusco   Prov. Paruro   Dist. Pillpinto",89.89
"3797","081009","Dpto. Cusco   Prov. Paruro   Dist. Yaurisque",18.89
"3802","081101","Dpto. Cusco   Prov. Paucartambo   Dist. Paucartambo",29.49
"3807","081102","Dpto. Cusco   Prov. Paucartambo   Dist. Caicay",23.28
"3812","081103","Dpto. Cusco   Prov. Paucartambo   Dist. Challabamba",8.76
"3817","081104","Dpto. Cusco   Prov. Paucartambo   Dist. Colquepata",5.81
"3822","081105","Dpto. Cusco   Prov. Paucartambo   Dist. Huancarani",18.86
"3827","081106","Dpto. Cusco   Prov. Paucartambo   Dist. Kos<U+00F1>ipata",34.05
"3832","081201","Dpto. Cusco   Prov. Quispicanchi   Dist. Urcos",57.16
"3837","081202","Dpto. Cusco   Prov. Quispicanchi   Dist. Andahuaylillas",61.4
"3842","081203","Dpto. Cusco   Prov. Quispicanchi   Dist. Camanti",63.19
"3847","081204","Dpto. Cusco   Prov. Quispicanchi   Dist. Ccarhuayo",20.55
"3852","081205","Dpto. Cusco   Prov. Quispicanchi   Dist. Ccatca",13.54
"3857","081206","Dpto. Cusco   Prov. Quispicanchi   Dist. Cusipata",24.92
"3862","081207","Dpto. Cusco   Prov. Quispicanchi   Dist. Huaro",41.78
"3867","081208","Dpto. Cusco   Prov. Quispicanchi   Dist. Lucre",80.21
"3872","081209","Dpto. Cusco   Prov. Quispicanchi   Dist. Marcapata",12.3
"3877","081210","Dpto. Cusco   Prov. Quispicanchi   Dist. Ocongate",17.9
"3882","081211","Dpto. Cusco   Prov. Quispicanchi   Dist. Oropesa",88.59
"3887","081212","Dpto. Cusco   Prov. Quispicanchi   Dist. Quiquijana",14.37
"3892","081301","Dpto. Cusco   Prov. Urubamba   Dist. Urubamba",66.44
"3897","081302","Dpto. Cusco   Prov. Urubamba   Dist. Chinchero",28.27
"3902","081303","Dpto. Cusco   Prov. Urubamba   Dist. Huayllabamba",25.52
"3907","081304","Dpto. Cusco   Prov. Urubamba   Dist. Machupicchu",84.11
"3912","081305","Dpto. Cusco   Prov. Urubamba   Dist. Maras",26.08
"3917","081306","Dpto. Cusco   Prov. Urubamba   Dist. Ollantaytambo",30.27
"3922","081307","Dpto. Cusco   Prov. Urubamba   Dist. Yucay",94.13
"3927","090101","Dpto. Huancavelica   Prov. Huancavelica   Dist. Huancavelica",86.55
"3932","090102","Dpto. Huancavelica   Prov. Huancavelica   Dist. Acobambilla",19.68
"3937","090103","Dpto. Huancavelica   Prov. Huancavelica   Dist. Acoria",11.89
"3942","090104","Dpto. Huancavelica   Prov. Huancavelica   Dist. Conayca",53.36
"3947","090105","Dpto. Huancavelica   Prov. Huancavelica   Dist. Cuenca",18.96
"3952","090106","Dpto. Huancavelica   Prov. Huancavelica   Dist. Huachocolpa",59.27
"3957","090107","Dpto. Huancavelica   Prov. Huancavelica   Dist. Huayllahuara",64.06
"3962","090108","Dpto. Huancavelica   Prov. Huancavelica   Dist. Izcuchaca",59.24
"3967","090109","Dpto. Huancavelica   Prov. Huancavelica   Dist. Laria",34.37
"3972","090110","Dpto. Huancavelica   Prov. Huancavelica   Dist. Manta",20.79
"3977","090111","Dpto. Huancavelica   Prov. Huancavelica   Dist. Mariscal C<U+00E1>ceres",100
"3981","090112","Dpto. Huancavelica   Prov. Huancavelica   Dist. Moya",30.5
"3986","090113","Dpto. Huancavelica   Prov. Huancavelica   Dist. Nuevo Occoro",25.59
"3991","090114","Dpto. Huancavelica   Prov. Huancavelica   Dist. Palca",21.23
"3996","090115","Dpto. Huancavelica   Prov. Huancavelica   Dist. Pilchaca",65.97
"4001","090116","Dpto. Huancavelica   Prov. Huancavelica   Dist. Vilca",9.2
"4006","090117","Dpto. Huancavelica   Prov. Huancavelica   Dist. Yauli",14.88
"4011","090118","Dpto. Huancavelica   Prov. Huancavelica   Dist. Ascensi<U+00F3>n",93.33
"4016","090119","Dpto. Huancavelica   Prov. Huancavelica   Dist. Huando",17.13
"4021","090201","Dpto. Huancavelica   Prov. Acobamba   Dist. Acobamba",47.56
"4026","090202","Dpto. Huancavelica   Prov. Acobamba   Dist. Andabamba",34.74
"4031","090203","Dpto. Huancavelica   Prov. Acobamba   Dist. Anta",6.26
"4036","090204","Dpto. Huancavelica   Prov. Acobamba   Dist. Caja",27.49
"4041","090205","Dpto. Huancavelica   Prov. Acobamba   Dist. Marcas",45.8
"4046","090206","Dpto. Huancavelica   Prov. Acobamba   Dist. Paucara",29.31
"4051","090207","Dpto. Huancavelica   Prov. Acobamba   Dist. Pomacocha",39.55
"4056","090208","Dpto. Huancavelica   Prov. Acobamba   Dist. Rosario",25.25
"4061","090301","Dpto. Huancavelica   Prov. Angaraes   Dist. Lircay",28.23
"4066","090302","Dpto. Huancavelica   Prov. Angaraes   Dist. Anchonga",17.63
"4071","090303","Dpto. Huancavelica   Prov. Angaraes   Dist. Callanmarca",72.61
"4076","090304","Dpto. Huancavelica   Prov. Angaraes   Dist. Ccochaccasa",38.53
"4081","090305","Dpto. Huancavelica   Prov. Angaraes   Dist. Chincho",6.28
"4086","090306","Dpto. Huancavelica   Prov. Angaraes   Dist. Congalla",20.63
"4091","090307","Dpto. Huancavelica   Prov. Angaraes   Dist. Huanca-Huanca",51.92
"4096","090308","Dpto. Huancavelica   Prov. Angaraes   Dist. Huayllay Grande",79.62
"4101","090309","Dpto. Huancavelica   Prov. Angaraes   Dist. Julcamarca",49.22
"4106","090310","Dpto. Huancavelica   Prov. Angaraes   Dist. San Antonio de Antaparco",18.17
"4111","090311","Dpto. Huancavelica   Prov. Angaraes   Dist. Santo Tomas de Pata",30.42
"4116","090312","Dpto. Huancavelica   Prov. Angaraes   Dist. Secclla",14.15
"4121","090401","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Castrovirreyna",38.3
"4126","090402","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Arma",18.88
"4131","090403","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Aurahua",22.99
"4136","090404","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Capillas",7.99
"4141","090405","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Chupamarca",24.27
"4146","090406","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Cocas",16.67
"4151","090407","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Huachos",42.5
"4156","090408","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Huamatambo",38.93
"4161","090409","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Mollepampa",9.1
"4166","090410","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. San Juan",23.55
"4171","090411","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Santa Ana",48.61
"4176","090412","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Tantara",52.05
"4181","090413","Dpto. Huancavelica   Prov. Castrovirreyna   Dist. Ticrapo",50.7
"4186","090501","Dpto. Huancavelica   Prov. Churcampa   Dist. Churcampa",45.6
"4191","090502","Dpto. Huancavelica   Prov. Churcampa   Dist. Anco",7.24
"4196","090503","Dpto. Huancavelica   Prov. Churcampa   Dist. Chinchihuasi",10
"4201","090504","Dpto. Huancavelica   Prov. Churcampa   Dist. El Carmen",7
"4206","090505","Dpto. Huancavelica   Prov. Churcampa   Dist. La Merced",56.31
"4211","090506","Dpto. Huancavelica   Prov. Churcampa   Dist. Locroja",26.04
"4216","090507","Dpto. Huancavelica   Prov. Churcampa   Dist. Paucarbamba",11.83
"4221","090508","Dpto. Huancavelica   Prov. Churcampa   Dist. San Miguel de Mayocc",62.15
"4226","090509","Dpto. Huancavelica   Prov. Churcampa   Dist. San Pedro de Coris",59.68
"4231","090510","Dpto. Huancavelica   Prov. Churcampa   Dist. Pachamarca",6.39
"4236","090601","Dpto. Huancavelica   Prov. Huaytara   Dist. Huaytara",36.37
"4241","090602","Dpto. Huancavelica   Prov. Huaytara   Dist. Ayavi",25.21
"4246","090603","Dpto. Huancavelica   Prov. Huaytara   Dist. Cordova",18.04
"4251","090604","Dpto. Huancavelica   Prov. Huaytara   Dist. Huayacundo Arma",55.43
"4256","090605","Dpto. Huancavelica   Prov. Huaytara   Dist. Laramarca",76.54
"4261","090606","Dpto. Huancavelica   Prov. Huaytara   Dist. Ocoyo",11.15
"4266","090607","Dpto. Huancavelica   Prov. Huaytara   Dist. Pilpichaca",17.98
"4271","090608","Dpto. Huancavelica   Prov. Huaytara   Dist. Querco",60.12
"4276","090609","Dpto. Huancavelica   Prov. Huaytara   Dist. Quito-Arma",17.14
"4281","090610","Dpto. Huancavelica   Prov. Huaytara   Dist. San Antonio de Cusicancha",11.65
"4286","090611","Dpto. Huancavelica   Prov. Huaytara   Dist. San Francisco de Sangayaico",47.62
"4291","090612","Dpto. Huancavelica   Prov. Huaytara   Dist. San Isidro",52.33
"4296","090613","Dpto. Huancavelica   Prov. Huaytara   Dist. Santiago de Chocorvos",22.6
"4301","090614","Dpto. Huancavelica   Prov. Huaytara   Dist. Santiago de Quirahuara",44.56
"4306","090615","Dpto. Huancavelica   Prov. Huaytara   Dist. Santo Domingo de Capillas",20.26
"4311","090616","Dpto. Huancavelica   Prov. Huaytara   Dist. Tambo",58.73
"4316","090701","Dpto. Huancavelica   Prov. Tayacaja   Dist. Pampas",55.4
"4321","090702","Dpto. Huancavelica   Prov. Tayacaja   Dist. Acostambo",19.86
"4326","090703","Dpto. Huancavelica   Prov. Tayacaja   Dist. Acraquia",15.36
"4331","090704","Dpto. Huancavelica   Prov. Tayacaja   Dist. Ahuaycha",15.23
"4336","090705","Dpto. Huancavelica   Prov. Tayacaja   Dist. Colcabamba",13.87
"4341","090706","Dpto. Huancavelica   Prov. Tayacaja   Dist. Daniel Hernandez",40.46
"4346","090707","Dpto. Huancavelica   Prov. Tayacaja   Dist. Huachocolpa",22.95
"4351","090709","Dpto. Huancavelica   Prov. Tayacaja   Dist. Huaribamba",31.5
"4356","090710","Dpto. Huancavelica   Prov. Tayacaja   Dist. <U+00D1>ahuimpuquio",70.34
"4361","090711","Dpto. Huancavelica   Prov. Tayacaja   Dist. Pazos",24.15
"4366","090713","Dpto. Huancavelica   Prov. Tayacaja   Dist. Quishuar",90.66
"4371","090714","Dpto. Huancavelica   Prov. Tayacaja   Dist. Salcabamba",4.06
"4376","090715","Dpto. Huancavelica   Prov. Tayacaja   Dist. Salcahuasi",9.87
"4381","090716","Dpto. Huancavelica   Prov. Tayacaja   Dist. San Marcos de Rocchac",17.43
"4386","090717","Dpto. Huancavelica   Prov. Tayacaja   Dist. Surcubamba",8.26
"4391","090718","Dpto. Huancavelica   Prov. Tayacaja   Dist. Tintay Puncu",12.71
"4396","100101","Dpto. Huanuco   Prov. Huanuco   Dist. Huanuco",95.9
"4401","100102","Dpto. Huanuco   Prov. Huanuco   Dist. Amarilis",85.18
"4406","100103","Dpto. Huanuco   Prov. Huanuco   Dist. Chinchao",8.92
"4411","100104","Dpto. Huanuco   Prov. Huanuco   Dist. Churubamba",1.31
"4416","100105","Dpto. Huanuco   Prov. Huanuco   Dist. Margos",43.9
"4421","100106","Dpto. Huanuco   Prov. Huanuco   Dist. Quisqui",14.19
"4426","100107","Dpto. Huanuco   Prov. Huanuco   Dist. San Francisco de Cayran",11.12
"4431","100108","Dpto. Huanuco   Prov. Huanuco   Dist. San Pedro de Chaulan",22.14
"4436","100109","Dpto. Huanuco   Prov. Huanuco   Dist. Santa maria del valle",6.73
"4441","100110","Dpto. Huanuco   Prov. Huanuco   Dist. Yarumayo",26.42
"4446","100111","Dpto. Huanuco   Prov. Huanuco   Dist. Pillco marca",83.31
"4451","100201","Dpto. Huanuco   Prov. Ambo   Dist. Ambo",50.71
"4456","100202","Dpto. Huanuco   Prov. Ambo   Dist. Cayna",45.76
"4461","100203","Dpto. Huanuco   Prov. Ambo   Dist. Colpas",19.7
"4466","100204","Dpto. Huanuco   Prov. Ambo   Dist. Conchamarca",20.6
"4471","100205","Dpto. Huanuco   Prov. Ambo   Dist. Huacar",13.25
"4476","100206","Dpto. Huanuco   Prov. Ambo   Dist. San Francisco",42.37
"4481","100207","Dpto. Huanuco   Prov. Ambo   Dist. San Rafael",21.74
"4486","100208","Dpto. Huanuco   Prov. Ambo   Dist. Tomay Kichwa",45.61
"4491","100301","Dpto. Huanuco   Prov. Dos de Mayo   Dist. La Uni<U+00F3>n",79.1
"4496","100307","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Chuquis",22.5
"4501","100311","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Marias",23.65
"4506","100313","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Pachas",24.97
"4511","100316","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Quivilla",51.34
"4516","100317","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Ripan",44.49
"4521","100321","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Shunqui",22.36
"4526","100322","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Sillapata",17.39
"4531","100323","Dpto. Huanuco   Prov. Dos de Mayo   Dist. Yanas",28.59
"4536","100401","Dpto. Huanuco   Prov. Huacaybamba   Dist. Huacaybamba",28.59
"4541","100402","Dpto. Huanuco   Prov. Huacaybamba   Dist. Canchabamba",20.18
"4546","100403","Dpto. Huanuco   Prov. Huacaybamba   Dist. Cochabamba",21.38
"4551","100404","Dpto. Huanuco   Prov. Huacaybamba   Dist. Pinra",7.32
"4556","100501","Dpto. Huanuco   Prov. Huamalies   Dist. Llata",36.43
"4561","100502","Dpto. Huanuco   Prov. Huamalies   Dist. Arancay",22.3
"4566","100503","Dpto. Huanuco   Prov. Huamalies   Dist. Chavin de Pariarca",41.3
"4571","100504","Dpto. Huanuco   Prov. Huamalies   Dist. Jacas Grande",12.95
"4576","100505","Dpto. Huanuco   Prov. Huamalies   Dist. Jircan",9.57
"4581","100506","Dpto. Huanuco   Prov. Huamalies   Dist. Miraflores",53.06
"4586","100507","Dpto. Huanuco   Prov. Huamalies   Dist. Monzon",18.94
"4591","100508","Dpto. Huanuco   Prov. Huamalies   Dist. Punchao",77.13
"4596","100509","Dpto. Huanuco   Prov. Huamalies   Dist. Pu<U+00F1>os",23.84
"4601","100510","Dpto. Huanuco   Prov. Huamalies   Dist. Singa",34.09
"4606","100511","Dpto. Huanuco   Prov. Huamalies   Dist. Tantamayo",11.05
"4611","100601","Dpto. Huanuco   Prov. Leoncio Prado   Dist. Rupa-Rupa",89.4
"4616","100602","Dpto. Huanuco   Prov. Leoncio Prado   Dist. Daniel Alomias Robles",5.09
"4621","100603","Dpto. Huanuco   Prov. Leoncio Prado   Dist. Hermilio Valdizan",7.17
"4626","100604","Dpto. Huanuco   Prov. Leoncio Prado   Dist. Jose Crespo y Castillo",43.49
"4631","100605","Dpto. Huanuco   Prov. Leoncio Prado   Dist. Luyando",20.41
"4636","100606","Dpto. Huanuco   Prov. Leoncio Prado   Dist. Mariano Damaso Beraun",20.81
"4641","100701","Dpto. Huanuco   Prov. Mara<U+00F1><U+00F3>n   Dist. Huacrachuco",15.75
"4646","100702","Dpto. Huanuco   Prov. Mara<U+00F1><U+00F3>n   Dist. Cholon",13.05
"4651","100703","Dpto. Huanuco   Prov. Mara<U+00F1><U+00F3>n   Dist. San Buenaventura",18.05
"4656","100801","Dpto. Huanuco   Prov. Pachitea   Dist. Panao",18.73
"4661","100802","Dpto. Huanuco   Prov. Pachitea   Dist. Chaglla",23.54
"4666","100803","Dpto. Huanuco   Prov. Pachitea   Dist. Molino",14.08
"4671","100804","Dpto. Huanuco   Prov. Pachitea   Dist. Umari",3.45
"4676","100901","Dpto. Huanuco   Prov. Puerto Inca   Dist. Puerto Inca",33.23
"4681","100902","Dpto. Huanuco   Prov. Puerto Inca   Dist. Codo del Pozuzo",14.36
"4686","100903","Dpto. Huanuco   Prov. Puerto Inca   Dist. Honoria",13.98
"4691","100904","Dpto. Huanuco   Prov. Puerto Inca   Dist. Tournavista",17.87
"4696","100905","Dpto. Huanuco   Prov. Puerto Inca   Dist. Yuyapichis",13.08
"4701","101001","Dpto. Huanuco   Prov. Lauricocha   Dist. Jesus",32.52
"4706","101002","Dpto. Huanuco   Prov. Lauricocha   Dist. Ba<U+00F1>os",25.02
"4711","101003","Dpto. Huanuco   Prov. Lauricocha   Dist. Jivia",16.28
"4716","101004","Dpto. Huanuco   Prov. Lauricocha   Dist. Queropalca",51.16
"4721","101005","Dpto. Huanuco   Prov. Lauricocha   Dist. Rondos",16.7
"4726","101006","Dpto. Huanuco   Prov. Lauricocha   Dist. San Francisco de Asis",30.01
"4731","101007","Dpto. Huanuco   Prov. Lauricocha   Dist. San Miguel de Cauri",13.7
"4736","101101","Dpto. Huanuco   Prov. Yarowilca   Dist. Chavinillo",24.48
"4741","101102","Dpto. Huanuco   Prov. Yarowilca   Dist. Cahuac",42.29
"4746","101103","Dpto. Huanuco   Prov. Yarowilca   Dist. Chacabamba",22.85
"4751","101104","Dpto. Huanuco   Prov. Yarowilca   Dist. Aparicio Pomares",21.94
"4756","101105","Dpto. Huanuco   Prov. Yarowilca   Dist. Jacas Chico",35.31
"4761","101106","Dpto. Huanuco   Prov. Yarowilca   Dist. Obas",17.7
"4766","101107","Dpto. Huanuco   Prov. Yarowilca   Dist. Pampamarca",24.27
"4771","101108","Dpto. Huanuco   Prov. Yarowilca   Dist. Choras",18.56
"4776","110101","Dpto. Ica   Prov. Ica   Dist. Ica",99.68
"4781","110102","Dpto. Ica   Prov. Ica   Dist. La Tingui<U+00F1>a",89.71
"4786","110103","Dpto. Ica   Prov. Ica   Dist. Los Aquijes",86.27
"4791","110104","Dpto. Ica   Prov. Ica   Dist. Ocucaje",39.1
"4796","110105","Dpto. Ica   Prov. Ica   Dist. Pachacutec",93.23
"4801","110106","Dpto. Ica   Prov. Ica   Dist. Parcona",97.5
"4806","110107","Dpto. Ica   Prov. Ica   Dist. Pueblo Nuevo",43.4
"4811","110108","Dpto. Ica   Prov. Ica   Dist. Salas",86.86
"4816","110109","Dpto. Ica   Prov. Ica   Dist. San Jose de los Molinos",70.08
"4821","110110","Dpto. Ica   Prov. Ica   Dist. San Juan Bautista",85.87
"4826","110111","Dpto. Ica   Prov. Ica   Dist. Santiago",70.32
"4831","110112","Dpto. Ica   Prov. Ica   Dist. Subtanjalla",95.98
"4836","110113","Dpto. Ica   Prov. Ica   Dist. Tate",90.95
